Episode ID	Episode Title	Show Title	Show ID	
tt4480778	She Wants Revenge	American Horror Story	tt1844624	
tt4480784	She Gets Revenge	American Horror Story	tt1844624	
tt4480792	Battle Royale	American Horror Story	tt1844624	
tt4480800	Be Our Guest	American Horror Story	tt1844624	
tt5194600	Chapter 1	American Horror Story	tt1844624	
tt4480806	Chapter 2	American Horror Story	tt1844624	
tt5839308	Episode #6.3	American Horror Story	tt1844624	
tt5915274	Episode #6.4	American Horror Story	tt1844624	
tt5915284	Episode #6.5	American Horror Story	tt1844624	
tt5915290	Episode #6.6	American Horror Story	tt1844624	
tt5915294	Episode #6.7	American Horror Story	tt1844624	
tt5915300	Episode #6.8	American Horror Story	tt1844624	
tt5902962	Episode #6.9	American Horror Story	tt1844624	
tt5748102	Episode #6.10	American Horror Story	tt1844624	
tt1589921	Days Gone Bye	The Walking Dead	tt1520211	
tt1628064	Guts	The Walking Dead	tt1520211	
tt1628065	Tell It to the Frogs	The Walking Dead	tt1520211	
tt1628066	Vatos	The Walking Dead	tt1520211	
tt1628067	Wildfire	The Walking Dead	tt1520211	
tt1628068	TS-19	The Walking Dead	tt1520211	
tt1790548	What Lies Ahead	The Walking Dead	tt1520211	
tt1804266	Bloodletting	The Walking Dead	tt1520211	
tt1804267	Save the Last One	The Walking Dead	tt1520211	
tt1804268	Cherokee Rose	The Walking Dead	tt1520211	
tt1804269	Chupacabra	The Walking Dead	tt1520211	
tt1804270	Secrets	The Walking Dead	tt1520211	
tt1804271	Pretty Much Dead Already	The Walking Dead	tt1520211	
tt1804272	Nebraska	The Walking Dead	tt1520211	
tt1804273	Triggerfinger	The Walking Dead	tt1520211	
tt1804262	18 Miles Out	The Walking Dead	tt1520211	
tt1804263	Judge, Jury, Executioner	The Walking Dead	tt1520211	
tt1804264	Better Angels	The Walking Dead	tt1520211	
tt1804265	Beside the Dying Fire	The Walking Dead	tt1520211	
tt2107527	Seed	The Walking Dead	tt1520211	
tt2253598	Sick	The Walking Dead	tt1520211	
tt2253600	Walk with Me	The Walking Dead	tt1520211	
tt2253602	Killer Within	The Walking Dead	tt1520211	
tt2253610	Say the Word	The Walking Dead	tt1520211	
tt2253604	Hounded	The Walking Dead	tt1520211	
tt2253606	When the Dead Come Knocking	The Walking Dead	tt1520211	
tt2253608	Made to Suffer	The Walking Dead	tt1520211	
tt2269550	The Suicide King	The Walking Dead	tt1520211	
tt2401094	Home	The Walking Dead	tt1520211	
tt2521154	I Ain't a Judas	The Walking Dead	tt1520211	
tt2521158	Clear	The Walking Dead	tt1520211	
tt2521162	Arrow on the Doorpost	The Walking Dead	tt1520211	
tt2521168	Prey	The Walking Dead	tt1520211	
tt2521172	This Sorrowful Life	The Walking Dead	tt1520211	
tt2521182	Welcome to the Tombs	The Walking Dead	tt1520211	
tt2795750	30 Days Without an Accident	The Walking Dead	tt1520211	
